# {"t_start": 1585045446.6308053, "env_id": "PhantomXLeg-v0"} 
r,l,t
0.387958,1024,69.741855
-1.840975,1024,138.35509
-2.167207,1024,205.684637
-0.458446,1024,272.028566
1.377489,1024,338.40071
3.518794,1024,404.413799
6.565324,1024,471.121178
5.431133,1024,537.451319
3.69571,1024,603.707423
4.992424,1024,671.162535
7.310493,1024,737.210639
7.303421,1024,805.399907
7.093287,1024,871.508919
13.673566,1024,937.273956
14.323014,1024,1005.336332
19.913714,1024,1070.796558
36.507213,1024,1136.042904
15.136763,1024,1201.822936
18.769897,1024,1268.693311
20.138356,1024,1337.310848
19.8332,1024,1404.277624
23.356499,1024,1474.02573
20.406626,1024,1541.225566
24.202815,1024,1607.806478
21.736649,1024,1675.906223
21.910357,1024,1741.984648
25.722322,1024,1806.752267
25.941518,1024,1877.42799
27.52707,1024,1943.541667
25.523565,1024,2011.796383
21.828379,1024,2079.15475
25.224166,1024,2147.828872
26.201342,1024,2216.851476
28.21482,1024,2288.294202
29.569597,1024,2356.232075
23.336734,1024,2424.912278
-391.914021,1024,2466.521153
27.60306,1024,2534.460981
25.131382,1024,2603.676484
20.206237,1024,2682.238645
28.841074,1024,2750.037453
29.033313,1024,2817.026062
27.337313,1024,2887.564614
28.720427,1024,2956.232564
30.539551,1024,3022.182109
33.561303,1024,3092.236513
33.43057,1024,3159.609566
28.144686,1024,3228.331974
31.459369,1024,3294.099896
31.105795,1024,3361.374606
23.748231,1024,3430.21858
31.415466,1024,3497.644725
35.916977,1024,3567.323629
27.205819,1024,3636.982301
32.737173,1024,3705.776324
30.965309,1024,3773.066552
33.597291,1024,3840.91814
30.481336,1024,3907.954808
35.514996,1024,3975.601369
23.233027,1024,4039.881653
10.385486,1024,4105.833704
32.707927,1024,4172.999326
39.608698,1024,4238.695479
36.549491,1024,4306.446234
38.133983,1024,4375.774568
31.780391,1024,4441.866235
27.630351,1024,4510.305912
34.260191,1024,4576.464597
33.466677,1024,4642.295102
10.051424,1024,4701.329195
37.080367,1024,4770.614363
10.731691,1024,4834.553637
40.398702,1024,4902.442778
38.325618,1024,4969.292969
37.528305,1024,5035.034187
36.298882,1024,5100.910985
35.771901,1024,5167.038977
15.216479,1024,5231.20628
34.372533,1024,5298.890984
33.927789,1024,5364.864679
28.697712,1024,5432.39417
35.751487,1024,5498.217149
33.471839,1024,5566.868159
30.051065,1024,5635.822655
