# {"t_start": 1586120038.9361088, "env_id": "PhantomXLeg-v0"} 
r,l,t
-1.924557,1024,68.772216
-0.209877,1024,134.07881
-19.309758,1024,198.787648
1.478915,1024,264.769591
-0.060763,1024,330.704487
3.731038,1024,397.247574
4.939921,1024,463.484864
3.767639,1024,529.478849
9.880598,1024,597.166419
7.413352,1024,664.565292
5.394501,1024,730.337506
11.639502,1024,796.873955
11.285584,1024,864.344811
16.570454,1024,928.717379
17.541249,1024,995.978799
15.901703,1024,1063.891315
21.047687,1024,1129.796322
18.40715,1024,1196.967897
21.594925,1024,1262.99196
23.064819,1024,1330.557005
24.090052,1024,1398.253057
25.235272,1024,1463.935413
21.714724,1024,1530.551585
24.373645,1024,1598.415468
26.662872,1024,1665.823111
25.871216,1024,1732.413378
28.078959,1024,1799.870001
25.128228,1024,1869.168907
25.679628,1024,1936.041746
-11.321628,1024,2002.151402
29.954215,1024,2070.283691
29.098609,1024,2136.081172
23.308376,1024,2204.064117
31.451616,1024,2271.350616
32.346736,1024,2337.742894
30.254164,1024,2405.446189
29.619894,1024,2474.0785
30.518857,1024,2540.364178
31.911782,1024,2605.197369
17.419919,1024,2672.915126
33.525361,1024,2738.096389
30.142315,1024,2804.50906
28.724495,1024,2870.949448
117.969465,1024,2927.983415
24.559422,1024,2992.181264
33.964593,1024,3058.571311
20.739992,1024,3123.995733
30.897543,1024,3190.201106
30.940475,1024,3250.668009
31.054764,1024,3316.326185
29.7111,1024,3380.979613
36.240168,1024,3444.807275
25.499906,1024,3509.648952
27.740499,1024,3575.310276
35.957226,1024,3642.679009
35.410406,1024,3706.925858
34.116359,1024,3774.427263
36.760955,1024,3841.89895
33.498405,1024,3906.089403
42.988695,1024,3968.179673
35.825936,1024,4032.952499
43.826008,1024,4099.189112
34.464036,1024,4163.477274
27.721825,1024,4228.201272
37.590688,1024,4294.782381
32.016291,1024,4360.30571
34.56658,1024,4426.849788
41.390597,1024,4491.529002
24.249136,1024,4552.833928
35.377788,1024,4616.308841
41.289283,1024,4683.319909
36.967532,1024,4748.758829
41.777188,1024,4811.887123
37.34616,1024,4876.651408
35.211993,1024,4942.309505
37.725508,1024,5005.669144
38.407031,1024,5071.26767
36.474139,1024,5137.119362
40.101701,1024,5205.008773
30.341709,1024,5268.726532
42.562192,1024,5334.894007
42.918474,1024,5399.7326
35.309526,1024,5463.343281
43.026005,1024,5529.390777
45.263267,1024,5594.112825
42.006479,1024,5657.306904
45.932225,1024,5720.657615
42.055931,1024,5781.322358
49.71364,1024,5844.77078
42.452041,1024,5909.414456
44.442854,1024,5972.679152
40.543636,1024,6036.742321
40.530471,1024,6098.605369
42.846231,1024,6163.380154
39.116298,1024,6227.292311
40.107037,1024,6291.628155
36.705307,1024,6356.089594
41.911735,1024,6421.921031
39.375263,1024,6487.667273
47.660584,1024,6551.157951
46.680442,1024,6614.179229
46.311532,1024,6673.177284
54.0749,1024,6734.037279
49.017151,1024,6794.915672
45.15546,1024,6858.746302
49.228714,1024,6922.93236
53.783078,1024,6984.613629
48.267598,1024,7047.701874
52.924508,1024,7112.118963
44.578996,1024,7178.588115
30.266449,1024,7241.097407
53.470266,1024,7305.591048
23.49927,1024,7367.040546
56.31737,1024,7428.595855
50.558867,1024,7489.749668
56.790555,1024,7552.42716
51.219936,1024,7616.079341
50.422839,1024,7677.186152
45.78353,1024,7743.60168
30.24799,1024,7803.423601
25.504142,1024,7868.474517
57.178974,1024,7931.860159
47.037054,1024,7997.876367
-60.579327,1024,8048.784512
53.167151,1024,8110.273664
29.456488,1024,8170.337939
47.890663,1024,8231.604918
42.705954,1024,8289.274508
55.857966,1024,8348.748566
28.891788,1024,8409.458775
15.318456,1024,8469.780843
61.552805,1024,8528.871115
60.077757,1024,8588.705514
57.453771,1024,8651.059841
60.900276,1024,8710.098889
55.508996,1024,8772.263273
55.6056,1024,8833.054948
62.733479,1024,8894.293262
61.538568,1024,8955.532398
57.080185,1024,9017.574929
65.055469,1024,9079.168703
50.128522,1024,9139.814708
24.751926,1024,9198.363085
52.53572,1024,9259.476972
45.62294,1024,9318.850425
66.349908,1024,9379.264784
50.085212,1024,9440.070282
62.471049,1024,9501.171974
42.499282,1024,9559.225797
50.615367,1024,9619.426702
62.098604,1024,9678.317319
58.120386,1024,9737.835368
13.460029,1024,9856.229599
67.773392,1024,9918.683612
71.860218,1024,9978.877219
67.338123,1024,10037.967468
64.620283,1024,10097.869871
43.318885,1024,10155.140918
62.692585,1024,10214.29776
9.534051,1024,10272.491769
73.19256,1024,10333.492533
61.948899,1024,10394.391358
30.823241,1024,10451.695567
62.634774,1024,10509.523941
41.368469,1024,10568.709234
61.695067,1024,10629.504991
63.767427,1024,10688.630344
43.230787,1024,10747.798048
47.928084,1024,10808.97627
66.187597,1024,10867.016592
59.480192,1024,10926.04502
69.857541,1024,10983.275407
60.923642,1024,11040.778071
48.652951,1024,11097.803684
69.322714,1024,11156.852736
66.945587,1024,11212.949632
55.906373,1024,11271.0359
76.994199,1024,11327.106651
74.953163,1024,11383.55847
73.219757,1024,11440.34248
69.399405,1024,11495.878951
64.901662,1024,11551.511018
68.611481,1024,11610.915902
54.892723,1024,11668.873834
74.942318,1024,11726.185521
77.545582,1024,11784.094359
69.323846,1024,11840.385432
76.765877,1024,11897.309582
19.83509,1024,11954.95959
77.975853,1024,12011.586361
78.924959,1024,12069.705909
69.060314,1024,12129.255355
76.997096,1024,12185.07346
69.017854,1024,12240.498152
79.40737,1024,12298.226799
70.578139,1024,12357.794717
76.659747,1024,12414.625043
77.505269,1024,12472.872924
89.594653,1024,12530.074658
84.636793,1024,12585.124797
79.176585,1024,12640.328336
52.931447,491,12669.247312
76.686479,1024,12725.637136
76.967606,1024,12783.301601
78.450851,1024,12839.877635
60.323775,1024,12894.35591
25.59411,1024,12950.096472
79.712958,1024,13006.506049
70.367241,1024,13061.92626
79.806046,1024,13116.758164
95.212894,1024,13171.369698
86.016332,1024,13227.20246
87.480582,1024,13279.95196
85.085312,1024,13335.690617
81.959319,1024,13389.681859
