main/eplenmean,main/epreward,main/eprewmean,main/fps,main/kl_stop,main/loss/approxkl,main/loss/clipfrac,main/loss/policy_entropy,main/loss/policy_loss,main/loss/value_loss,main/misc/explained_variance,main/misc/nupdates,main/misc/serial_timesteps,main/misc/time_elapsed,main/misc/total_timesteps
1024.0,-1.416462,-1.416462,42,0,0.00598466,0.0878906,25.5278,-0.0406491,0.0833786,-29.199586868286133,1,1024,24.252365861088037,1024
1024.0,0.679027,-0.3687175,42,0,0.00584017,0.0849609,25.5105,-0.0426341,0.0159723,-11.844927787780762,2,2048,48.51822830736637,2048
1024.0,-0.555504,-0.430979666667,42,0,0.00552897,0.080957,25.5113,-0.0401332,0.00720809,-6.636904716491699,3,3072,72.46744898241013,3072
1024.0,0.416283,-0.219164,42,0,0.00604963,0.0949219,25.5083,-0.0429202,0.00599932,-4.110217571258545,4,4096,96.50800855085254,4096
1024.0,-0.140375,-0.2034062,42,0,0.00761973,0.124219,25.4785,-0.0515086,0.00505668,-3.471095561981201,5,5120,120.65143480710685,5120
1024.0,-0.602248,-0.269879833333,42,0,0.00691732,0.10791,25.4548,-0.0466456,0.00501259,-3.4846243858337402,6,6144,144.50086886435747,6144
1024.0,0.281857,-0.191060285714,42,0,0.00699564,0.104687,25.4545,-0.0457317,0.00412072,-3.2980751991271973,7,7168,168.52970293164253,7168
1024.0,0.723612,-0.07672625,43,0,0.00676045,0.106738,25.4572,-0.0467997,0.0035082,-3.0093536376953125,8,8192,192.3129274053499,8192
1024.0,-0.172151,-0.087329,42,0,0.00772037,0.125195,25.446,-0.0499744,0.00301901,-2.3492560386657715,9,9216,216.15759126935154,9216
1024.0,0.812465,0.0026504,42,0,0.00752681,0.119824,25.4443,-0.0444274,0.0029154,-1.8210904598236084,10,10240,240.3467681715265,10240
1024.0,0.916046,0.0856863636364,42,0,0.00793288,0.123926,25.4318,-0.0472194,0.00242001,-2.2780094146728516,11,11264,264.4439617525786,11264
1024.0,0.017164,0.0799761666667,42,0,0.00798227,0.125781,25.3973,-0.0518734,0.00227584,-1.9039409160614014,12,12288,288.3793857945129,12288
1024.0,0.864869,0.140352538462,42,0,0.00712867,0.115332,25.3755,-0.0472012,0.0023234,-1.0942106246948242,13,13312,312.60196294635534,13312
1024.0,0.848411,0.190928142857,42,0,0.00730508,0.110742,25.3511,-0.0480656,0.00242039,-1.2365107536315918,14,14336,336.72998761665076,14336
1024.0,0.872769,0.2363842,42,0,0.00886462,0.140332,25.3328,-0.0522634,0.00212596,-0.9374202489852905,15,15360,360.826366815716,15360
1024.0,1.738236,0.3302499375,42,0,0.00812323,0.133984,25.2959,-0.0516566,0.00203478,-1.0408549308776855,16,16384,384.74788290355355,16384
1024.0,2.02122,0.429718764706,42,0,0.00959589,0.150977,25.2748,-0.0518756,0.00220808,-0.3952062129974365,17,17408,408.7153173899278,17408
1024.0,1.723353,0.501587333333,43,0,0.0097863,0.16543,25.2694,-0.052137,0.0020157,-0.5605244636535645,18,18432,432.5245108921081,18432
1024.0,3.614186,0.665408315789,42,0,0.00940383,0.156543,25.2373,-0.0515303,0.00207178,-0.5970417261123657,19,19456,456.66579309571534,19456
1024.0,3.848625,0.82456915,42,0,0.0101254,0.165625,25.2186,-0.0520789,0.0022092,-0.42251110076904297,20,20480,480.51122333295643,20480
