# {"t_start": 1585045284.513982, "env_id": "PhantomXLeg-v0"} 
r,l,t
-2.369232,1024,70.135805
-0.864568,1024,137.562949
2.633138,1024,202.874144
0.301911,1024,270.758763
-0.527998,1024,336.247592
3.777388,1024,401.125802
4.42088,1024,467.657541
4.403506,1024,534.834981
5.703489,1024,601.378967
6.899272,1024,668.394906
7.006246,1024,734.995017
8.062591,1024,802.353951
11.173661,1024,870.467011
17.394953,1024,936.651736
13.158246,1024,1004.373564
19.142507,1024,1072.194274
18.03245,1024,1140.792358
20.75562,1024,1208.973039
24.632969,1024,1278.914385
17.748187,1024,1347.665737
24.463654,1024,1417.357333
27.644185,1024,1486.094241
25.753329,1024,1555.269696
28.247065,1024,1622.324564
28.213101,1024,1691.308141
31.237088,1024,1759.481348
29.514868,1024,1828.591219
29.366286,1024,1896.836275
34.615374,1024,1964.338454
32.202908,1024,2032.171793
31.657637,1024,2099.044559
32.131519,1024,2168.86009
25.484221,1024,2238.999034
28.985459,1024,2308.580033
31.718634,1024,2376.218502
24.69303,1024,2444.708041
31.670814,1024,2513.118844
31.010501,1024,2583.058882
34.614599,1024,2650.312817
32.300367,1024,2718.966555
7.440005,1024,2777.58167
24.881979,1024,2847.526415
35.286361,1024,2916.855902
30.000414,1024,2985.142485
36.830372,1024,3053.961168
35.817258,1024,3121.008057
34.883699,1024,3190.245939
34.807388,1024,3256.2276
42.841876,1024,3323.608817
30.319796,1024,3391.70666
29.952029,1024,3459.22321
32.386895,1024,3529.678629
27.826322,1024,3600.414878
36.164929,1024,3668.442311
37.41644,1024,3737.707237
23.694907,1024,3807.46034
37.907596,1024,3875.922899
34.562729,1024,3947.134619
39.149012,1024,4015.639164
24.099909,1024,4085.798239
39.762426,1024,4155.362323
40.935614,1024,4224.618624
41.585798,1024,4295.015455
34.010269,1024,4362.648179
41.067027,1024,4429.56954
36.004374,1024,4497.253605
36.1511,1024,4568.551646
41.352776,1024,4637.373522
38.058386,1024,4706.277966
41.376435,1024,4774.686497
34.434244,1024,4843.556376
44.787774,1024,4911.652876
30.480696,1024,4981.805444
38.54356,1024,5050.944404
38.880886,1024,5120.10547
39.833979,1024,5190.463772
40.985363,1024,5261.103309
38.991618,1024,5330.34709
37.232832,1024,5400.478343
45.110027,1024,5468.1915
47.176497,1024,5536.44604
37.741929,1024,5604.914183
39.23654,1024,5673.848087
42.809034,1024,5741.77525
36.266355,1024,5810.340636
46.735621,1024,5876.238268
46.136715,1024,5941.956223
46.698907,1024,6010.427748
50.09432,1024,6077.913303
48.738202,1024,6145.412689
43.070936,1024,6214.719771
38.503266,1024,6283.586122
52.960106,1024,6351.791445
43.207827,1024,6420.675616
43.328446,1024,6487.901569
40.131592,1024,6555.747461
41.741706,1024,6622.917428
40.688219,1024,6688.201177
33.373032,1024,6760.65442
58.644518,1024,6828.348382
40.447116,1024,6893.665986
47.253174,1024,6959.63615
52.954728,1024,7028.018044
58.66268,1024,7094.731388
56.711859,1024,7162.652289
43.411906,1024,7231.224193
35.657056,1024,7295.377949
33.434641,1024,7367.2121
40.749482,1024,7436.831297
29.603105,1024,7503.9473
26.66936,1024,7569.326035
41.351084,1024,7635.698365
32.780456,1024,7697.435354
36.592735,1024,7761.088721
