main/eplenmean,main/epreward,main/eprewmean,main/fps,main/kl_stop,main/loss/approxkl,main/loss/clipfrac,main/loss/policy_entropy,main/loss/policy_loss,main/loss/value_loss,main/misc/explained_variance,main/misc/nupdates,main/misc/serial_timesteps,main/misc/time_elapsed,main/misc/total_timesteps
1024.0,-6.10556,-6.10556,17,0,0.00174932,0.0100586,4.25027,-0.00856364,4.39362,-0.04736316204071045,1,1024,57.63679263694212,1024
1024.0,-0.577449,-3.3415045,15,0,0.0034161,0.0338867,4.2397,-0.0103282,0.0342735,-10.061747550964355,2,2048,123.94835142593365,2048
1024.0,-2.932733,-3.20524733333,15,0,0.00320357,0.0288086,4.23688,-0.00846056,0.0138563,-0.8156132698059082,3,3072,190.55596934689675,3072
1024.0,-0.595708,-2.5528625,15,0,0.00322846,0.0352539,4.24562,-0.0100066,0.00729118,-0.5420210361480713,4,4096,257.3185555919772,4096
1024.0,-1.479995,-2.338289,15,0,0.0033696,0.0336914,4.24627,-0.00906376,0.0148022,-0.2663017511367798,5,5120,324.1073549069697,5120
1024.0,1.640771,-1.67511233333,14,0,0.00422814,0.046875,4.2351,-0.0120164,0.00522861,-0.43193769454956055,6,6144,394.72834550589323,6144
1024.0,3.106665,-0.992001285714,15,0,0.00376816,0.0378906,4.23094,-0.00939831,0.00642366,-0.5522236824035645,7,7168,462.4555348329013,7168
1024.0,2.241096,-0.587864125,15,0,0.00221546,0.0131836,4.22291,-0.00534171,0.00469619,-0.39552831649780273,8,8192,530.5699376669945,8192
1024.0,1.873516,-0.314377444444,15,0,0.00387543,0.0436523,4.21858,-0.00959023,0.0115886,-0.22240471839904785,9,9216,596.8793888599612,9216
1024.0,10.214863,0.7385466,15,0,0.00364455,0.0374023,4.21952,-0.00799114,0.0411888,-0.03984367847442627,10,10240,663.5265956219519,10240
1024.0,5.904098,1.20814218182,15,0,0.00351508,0.0387695,4.21726,-0.00993004,0.00970665,-0.11765658855438232,11,11264,729.0571944199037,11264
1024.0,6.421242,1.64256716667,15,0,0.00439841,0.0541992,4.205,-0.010383,0.00547646,-0.14968013763427734,12,12288,795.9205799899064,12288
1024.0,7.266629,2.07518730769,15,0,0.00350847,0.0402344,4.20102,-0.0089772,0.00897129,-0.09739422798156738,13,13312,861.8798870668979,13312
1024.0,10.424483,2.67156557143,15,0,0.00317003,0.0293945,4.2007,-0.00950245,0.0107479,-0.28201544284820557,14,14336,926.6438029858982,14336
1024.0,10.024593,3.1617674,15,0,0.00318245,0.0261719,4.18361,-0.00911752,0.00937522,-0.16899442672729492,15,15360,991.8301723999903,15360
1024.0,0.080984,2.9692184375,16,0,0.00425405,0.0504883,4.17287,-0.0122756,1.86012,-0.010743975639343262,16,16384,1052.1870716159465,16384
1024.0,14.982272,3.67586864706,15,0,0.0040156,0.0410156,4.16352,-0.00896541,0.0193262,-0.3291008472442627,17,17408,1118.4971009759465,17408
1024.0,21.91214,4.68899483333,15,0,0.00519656,0.0564453,4.1392,-0.0132374,0.0174055,-0.16824781894683838,18,18432,1183.333329532994,18432
1024.0,21.586156,5.57831910526,15,0,0.00308637,0.0314453,4.12063,-0.00712406,0.0200085,-0.1062021255493164,19,19456,1251.2491215419723,19456
1024.0,22.97182,6.44799415,15,0,0.00541936,0.0738281,4.12113,-0.013093,0.0219112,-0.05625176429748535,20,20480,1317.6797465569107,20480
1024.0,23.660958,7.26765909524,15,0,0.00401733,0.0378906,4.12472,-0.00930211,0.0275087,0.057971179485321045,21,21504,1385.0726187739056,21504
1024.0,23.485587,8.00483763636,15,0,0.0042382,0.0432617,4.12602,-0.0112999,0.0204789,0.32048410177230835,22,22528,1450.113330266904,22528
1024.0,28.849932,8.91114608696,14,0,0.00297983,0.0305664,4.12577,-0.00803532,0.0391338,-0.0234220027923584,23,23552,1518.3916122139199,23552
1024.0,28.311326,9.71948691667,15,0,0.0031871,0.0300781,4.12261,-0.00595894,0.0309637,-0.057909369468688965,24,24576,1584.5032940208912,24576
1024.0,24.784031,10.32206868,15,0,0.00664598,0.0881836,4.12459,-0.0111383,0.0525849,-0.06108880043029785,25,25600,1649.5210040418897,25600
1024.0,29.638768,11.0650186538,15,0,0.00418946,0.0460938,4.13659,-0.00806553,0.0338507,-0.0017513036727905273,26,26624,1714.040238361922,26624
1024.0,30.383688,11.7805249259,15,0,0.0024471,0.0172852,4.14326,-0.00406697,0.0397384,-0.027827978134155273,27,27648,1782.186103497981,27648
1024.0,27.79101,12.3523279643,15,0,0.00342224,0.0310547,4.13805,-0.00734516,0.0367406,-0.0700540542602539,28,28672,1848.7087782759918,28672
1024.0,26.178486,12.8290920345,15,0,0.00278041,0.0231445,4.12176,-0.00707566,0.0567726,-0.1535872220993042,29,29696,1913.4454841919942,29696
1024.0,27.384984,13.3142884333,15,0,0.00428007,0.046582,4.11038,-0.00800751,0.0454576,0.03564274311065674,30,30720,1979.3862147069303,30720
1024.0,29.939499,13.8505855484,14,0,0.00258693,0.0199219,4.11558,-0.00544892,0.0422681,-0.05277848243713379,31,31744,2048.271959930891,31744
1024.0,29.337381,14.3345479063,15,0,0.00227293,0.0171875,4.12376,-0.00439995,0.0404787,0.12434357404708862,32,32768,2116.069200236001,32768
1024.0,32.747818,14.8925257879,15,0,0.006104,0.0783203,4.1249,-0.0110052,0.0538574,-0.1308680772781372,33,33792,2182.191038163961,33792
1024.0,26.654974,15.2384801471,15,0,0.00511511,0.0603516,4.12558,-0.0081784,0.0448318,0.24179130792617798,34,34816,2250.459343253984,34816
1024.0,36.942275,15.8585885714,15,0,0.00335899,0.0366211,4.13324,-0.00908447,0.0666305,0.3060334324836731,35,35840,2316.358695550938,35840
1024.0,28.371418,16.2061671667,14,0,0.00207836,0.0162109,4.13706,-0.00701259,0.0356906,0.1493813395500183,36,36864,2385.5480296689784,36864
1024.0,31.804568,16.6277455676,14,0,0.00342993,0.0376953,4.13353,-0.00876329,0.0499404,0.05395442247390747,37,37888,2454.300275447895,37888
1024.0,26.301909,16.8823288158,15,0,0.00322949,0.0333008,4.14071,-0.00766697,0.0409769,0.27645331621170044,38,38912,2520.23817369889,38912
1024.0,29.409636,17.2035418205,14,0,0.00224454,0.0198242,4.15771,-0.00717032,0.0662281,-0.08260583877563477,39,39936,2589.2554056840017,39936
1024.0,22.972715,17.34777115,15,0,0.00425948,0.0488281,4.16118,-0.00951769,0.0425494,0.23551630973815918,40,40960,2653.911013446981,40960
1024.0,32.262587,17.7115471463,14,0,0.00227686,0.0168945,4.16117,-0.00619002,0.0543189,0.08165699243545532,41,41984,2724.6408417869825,41984
1024.0,25.907713,17.9066939524,15,0,0.00382093,0.0384766,4.16496,-0.00606503,0.0414099,0.6477970480918884,42,43008,2792.6033469669055,43008
1024.0,36.082785,18.3293937442,15,0,0.00535492,0.0641602,4.16021,-0.0118447,0.149461,-0.026018381118774414,43,44032,2860.439730814891,44032
1024.0,31.839355,18.6364383182,15,0,0.00240157,0.0195312,4.1628,-0.00561915,0.0280475,0.6149269342422485,44,45056,2927.754108979949,45056
1024.0,10.659059,18.4591632222,12,0,0.00371152,0.0381836,4.16862,-0.0117558,0.638771,0.5996745526790619,45,46080,3008.522198836901,46080
1024.0,31.736551,18.747802087,15,0,0.00577811,0.068457,4.17115,-0.0113557,0.0446664,0.4369125962257385,46,47104,3075.791820690967,47104
1024.0,23.319257,18.8450670851,14,0,0.00575374,0.0696289,4.17248,-0.0111783,0.111517,0.46555155515670776,47,48128,3144.205200148979,48128
1024.0,33.822754,19.1571022292,14,0,0.0050365,0.0646484,4.17235,-0.00992571,0.0829944,0.04506319761276245,48,49152,3214.779979393934,49152
1024.0,40.332137,19.5892457959,15,0,0.00444165,0.0470703,4.17098,-0.0115553,0.0633091,0.09900635480880737,49,50176,3282.0504145289306,50176
1024.0,31.175952,19.82097992,14,0,0.00434878,0.0439453,4.17625,-0.00734422,0.0678596,-0.08411526679992676,50,51200,3351.1181718239095,51200
1024.0,29.358981,20.007999549,15,0,0.00309446,0.0275391,4.1912,-0.00643206,0.0462138,-0.0028547048568725586,51,52224,3418.4755322489655,52224
1024.0,35.349675,20.3030317692,14,0,0.00346215,0.0286133,4.2091,-0.00596502,0.0675851,-0.04860663414001465,52,53248,3488.5692478829296,53248
1024.0,33.421165,20.550543717,14,0,0.00356469,0.0326172,4.21402,-0.00783786,0.0870218,0.038123369216918945,53,54272,3557.2840628069825,54272
1024.0,26.517277,20.6610387778,14,0,0.00335565,0.037793,4.21705,-0.00836894,0.0711377,0.3922581076622009,54,55296,3626.186307918979,55296
1024.0,31.499964,20.8581101455,14,0,0.00348155,0.0363281,4.2156,-0.00960378,0.06733,0.2554265856742859,55,56320,3696.1516370879253,56320
1024.0,22.206389,20.8821865536,14,0,0.00510857,0.0612305,4.20207,-0.0112059,0.0350313,0.8857549428939819,56,57344,3764.8775115879253,57344
1024.0,27.653645,21.0009840702,14,0,0.003869,0.0364258,4.19683,-0.0092945,0.0469266,0.6729688048362732,57,58368,3835.726120710955,58368
1024.0,31.431337,21.1808177414,14,0,0.00324199,0.0335938,4.19852,-0.0100002,0.0329088,0.7402680516242981,58,59392,3906.3983926149085,59392
1024.0,28.714292,21.3085037458,15,0,0.00381599,0.0416016,4.20053,-0.00777234,0.0248105,0.9060008898377419,59,60416,3974.109522113926,60416
1024.0,29.923698,21.4520903167,14,0,0.00470221,0.056543,4.20341,-0.0075744,0.0458779,0.3815957307815552,60,61440,4043.390952663962,61440
1024.0,30.054691,21.5931165574,14,0,0.00442429,0.0541992,4.20881,-0.00758861,0.0324599,0.8618050515651703,61,62464,4113.091776132933,62464
1024.0,30.851446,21.7424444516,15,0,0.00449431,0.0520508,4.21454,-0.00924279,0.024556,0.9221058711409569,62,63488,4181.219992828905,63488
1024.0,22.587634,21.7558601587,15,0,0.00461028,0.0493164,4.21679,-0.00684861,0.0380359,0.8432499170303345,63,64512,4246.280783074908,64512
1024.0,35.595762,21.972108625,15,0,0.00384483,0.0384766,4.21757,-0.00843466,0.0506027,0.7114281952381134,64,65536,4314.519607840921,65536
1024.0,25.353235,22.0241259538,14,0,0.00224237,0.0137695,4.21639,-0.00457824,0.0151755,0.963289275765419,65,66560,4383.448281875928,66560
1024.0,32.005807,22.1753635455,15,0,0.00383964,0.0344727,4.21756,-0.006755,0.0324515,0.8908678889274597,66,67584,4450.625603501918,67584
1024.0,34.215109,22.3550612388,14,0,0.00284607,0.0238281,4.21672,-0.00681452,0.0280404,0.8812433779239655,67,68608,4521.852114064968,68608
1024.0,33.439319,22.5180650294,14,0,0.00437377,0.0494141,4.20823,-0.0122405,0.0269537,0.9318835511803627,68,69632,4591.20146250492,69632
1024.0,30.729775,22.6370753188,15,0,0.0047831,0.0505859,4.19777,-0.010098,0.044742,0.883981429040432,69,70656,4656.984134027967,70656
1024.0,30.70379,22.7523141,14,0,0.00362803,0.0335938,4.19015,-0.0070821,0.021143,0.9523317813873291,70,71680,4725.956379785901,71680
1024.0,32.731979,22.8928727606,16,0,0.00484186,0.0517578,4.17885,-0.0105148,0.0537688,0.8804999440908432,71,72704,4789.907741604955,72704
1024.0,32.897538,23.0318264444,15,0,0.00309457,0.0288086,4.16991,-0.00716108,0.0344979,0.9567848518490791,72,73728,4856.540830079,73728
1024.0,28.656732,23.1088799452,15,0,0.00256449,0.0238281,4.17383,-0.00927678,0.050514,0.9387447573244572,73,74752,4923.282026036992,74752
1024.0,24.892284,23.13298,15,0,0.00284305,0.0231445,4.17706,-0.0073273,0.0352656,0.9388508386909962,74,75776,4989.054173026932,75776
1024.0,37.277078,23.3215679733,14,0,0.00503949,0.0655273,4.18061,-0.0103112,0.0544723,0.6286337673664093,75,76800,5059.460256312974,76800
1024.0,37.098059,23.5028375921,15,0,0.00331135,0.0264648,4.18034,-0.00620731,0.0381152,0.9248348772525787,76,77824,5126.658392209909,77824
1024.0,35.271896,23.6556825065,15,0,0.00668029,0.0852539,4.17601,-0.0139795,0.0301611,0.9275879114866257,77,78848,5193.4058757079765,78848
1024.0,38.657896,23.8480185769,15,0,0.00582099,0.0741211,4.16872,-0.0138664,0.0295465,0.9476867765188217,78,79872,5260.503528477973,79872
1024.0,33.453609,23.9696083291,15,0,0.00585549,0.0759766,4.16448,-0.00984563,0.0392369,0.9450310170650482,79,80896,5326.807256506989,80896
1024.0,35.649706,24.11560955,15,0,0.00660848,0.0873047,4.16013,-0.0120631,0.0488884,0.7321520745754242,80,81920,5394.137853495893,81920
1024.0,35.285591,24.2535105556,15,0,0.00555197,0.0625,4.14313,-0.0110738,0.0237924,0.959367174655199,81,82944,5458.466419598903,82944
1024.0,32.352739,24.3522816341,15,0,0.00415128,0.0420898,4.13168,-0.00815544,0.0307608,0.9151632860302925,82,83968,5522.982046559919,83968
1024.0,42.100757,24.5661186867,15,0,0.00258985,0.0240234,4.13564,-0.00785592,0.0339367,0.866462230682373,83,84992,5588.957684488967,84992
