main/eplenmean,main/epreward,main/eprewmean,main/fps,main/kl_stop,main/loss/approxkl,main/loss/clipfrac,main/loss/policy_entropy,main/loss/policy_loss,main/loss/value_loss,main/misc/explained_variance,main/misc/nupdates,main/misc/serial_timesteps,main/misc/time_elapsed,main/misc/total_timesteps
1024.0,-3.22804,-3.22804,16,0,0.00172749,0.0138672,4.25646,-0.00735701,0.04247,-3.7836761474609375,1,1024,62.31292232591659,1024
1024.0,-3.367499,-3.2977695,16,0,0.00253775,0.0230469,4.25059,-0.00629975,0.0181204,-0.9312522411346436,2,2048,123.42292303591967,2048
1024.0,-0.355028,-2.31685566667,17,0,0.00325224,0.0314453,4.24239,-0.00971352,0.0060133,-0.6255803108215332,3,3072,183.0043203011155,3072
1024.0,1.151794,-1.44969325,17,0,0.00378894,0.0391602,4.23843,-0.00902012,0.0126509,-0.1917252540588379,4,4096,243.16318117221817,4096
1024.0,2.565819,-0.6465908,16,0,0.00184428,0.0108398,4.24144,-0.00511719,0.00553508,-0.4775203466415405,5,5120,304.2986867292784,5120
1024.0,5.80728,0.429054333333,15,0,0.00196001,0.015625,4.23778,-0.00646269,0.0138652,-0.05041158199310303,6,6144,369.2498922380619,6144
1024.0,5.92698,1.21447228571,16,0,0.00324431,0.0302734,4.22696,-0.00787746,0.012449,-0.13382720947265625,7,7168,429.91737441625446,7168
1024.0,4.31153,1.6016045,17,0,0.00191984,0.0140625,4.21475,-0.00712563,0.0103157,-0.07638955116271973,8,8192,489.67202949896455,8192
1024.0,4.988908,1.97797155556,16,0,0.0031126,0.0344727,4.20633,-0.0105873,0.00715146,-0.021158337593078613,9,9216,549.954807610251,9216
1024.0,4.641024,2.2442768,17,0,0.00374227,0.0416992,4.19187,-0.0102253,0.00841596,-0.04171299934387207,10,10240,609.8650895981118,10240
1024.0,9.388281,2.89373172727,15,0,0.00517273,0.0646484,4.18398,-0.0131625,0.0167614,-0.1109384298324585,11,11264,674.0521216061898,11264
1024.0,11.719459,3.629209,17,0,0.00459423,0.0517578,4.18271,-0.00942502,0.0144911,-0.11881077289581299,12,12288,733.9224125272594,12288
1024.0,12.152403,4.28483930769,17,0,0.00439641,0.0493164,4.18526,-0.0100201,0.00924541,-0.14183509349822998,13,13312,791.5899525531568,13312
1024.0,17.980841,5.26312514286,17,0,0.00238062,0.0197266,4.19306,-0.00566968,0.0264414,0.004793107509613037,14,14336,850.7371034072712,14336
1024.0,15.308602,5.9328236,16,0,0.00438808,0.0490234,4.19736,-0.0100503,0.0265081,-0.04937171936035156,15,15360,911.2000399101526,15360
1024.0,17.541907,6.6583913125,17,0,0.00422519,0.0445312,4.19975,-0.00778688,0.0148306,-0.0488053560256958,16,16384,971.4016109639779,16384
1024.0,-6.623308,5.87711488235,10,0,0.00328467,0.0307617,4.19444,-0.011324,0.530766,-0.22805726528167725,17,17408,1067.218000446912,17408
1024.0,17.24191,6.50849238889,16,0,0.00519499,0.0666016,4.1992,-0.015793,0.0249437,-0.18848133087158203,18,18432,1127.5302004208788,18432
1024.0,18.6672,7.14842436842,16,0,0.00233745,0.018457,4.21006,-0.00650607,0.0276416,-0.048866987228393555,19,19456,1188.2206709580496,19456
1024.0,17.003423,7.6411743,16,0,0.00289706,0.0322266,4.20657,-0.00973375,0.0229909,0.19624006748199463,20,20480,1248.7588235428557,20480
1024.0,20.089844,8.23396809524,16,0,0.00309582,0.0290039,4.20129,-0.00855803,0.0161578,0.441924512386322,21,21504,1310.5110250832513,21504
1024.0,23.248371,8.91644095455,16,0,0.00390679,0.0387695,4.19921,-0.0066298,0.0245315,0.4150373935699463,22,22528,1371.1887010331266,22528
1024.0,22.985909,9.52815695652,16,0,0.00169231,0.0120117,4.19468,-0.0054001,0.0241906,0.44893401861190796,23,23552,1433.6322574028745,23552
1024.0,21.362555,10.021256875,16,0,0.00420718,0.0477539,4.19153,-0.00833358,0.0179486,0.4590400457382202,24,24576,1494.863002247177,24576
1024.0,26.051121,10.66245144,16,0,0.00549315,0.0625977,4.17925,-0.0107892,0.040521,-0.05904388427734375,25,25600,1557.0426323870197,25600
1024.0,24.596275,11.1983677308,16,0,0.00357753,0.0369141,4.16867,-0.00699983,0.0203167,0.5522177517414093,26,26624,1618.1239632251672,26624
1024.0,24.037701,11.6738985926,16,0,0.0022794,0.015918,4.16361,-0.00568992,0.0284501,0.18403875827789307,27,27648,1678.8490357343107,27648
1024.0,26.078317,12.1883421071,17,0,0.00342534,0.0375977,4.1604,-0.00778899,0.0280002,0.46686816215515137,28,28672,1738.4587245378643,28672
1024.0,21.758516,12.5183481034,16,0,0.00285609,0.0257812,4.15626,-0.00745825,0.0122177,0.9178877472877502,29,29696,1799.8092026659288,29696
1024.0,24.830011,12.9287368667,16,0,0.00460692,0.0488281,4.14823,-0.00841931,0.0235544,0.46755582094192505,30,30720,1861.5705405310728,30720
1024.0,24.828759,13.3126085484,16,0,0.0057485,0.0737305,4.14412,-0.0104504,0.0290979,0.36835306882858276,31,31744,1923.1734593780711,31744
1024.0,28.761732,13.7953936562,16,0,0.00377625,0.0418945,4.1461,-0.0096359,0.0267751,0.730463832616806,32,32768,1983.6989240041003,32768
1024.0,24.573484,14.1220024545,16,0,0.00858837,0.128809,4.15061,-0.0165546,0.0467578,-0.22706115245819092,33,33792,2044.9343077321537,33792
1024.0,27.171979,14.5058252941,16,0,0.0041015,0.0449219,4.14767,-0.00851697,0.0393583,0.06214195489883423,34,34816,2108.6350713171996,34816
1024.0,24.269664,14.7847921143,16,0,0.00241463,0.0199219,4.15004,-0.00415632,0.0378028,-0.0817803144454956,35,35840,2170.4720407482237,35840
1024.0,28.337763,15.1612635278,16,0,0.00294443,0.0268555,4.14918,-0.00968223,0.0405329,0.0813094973564148,36,36864,2232.200007250067,36864
1024.0,31.516221,15.6032894054,16,0,0.00486669,0.0580078,4.14583,-0.0117907,0.0488052,0.0017955899238586426,37,37888,2294.407748735044,37888
1024.0,24.751147,15.8440225,16,0,0.00396316,0.0462891,4.15213,-0.00999195,0.0471812,-0.01876974105834961,38,38912,2355.531260135118,38912
