# {"t_start": 1585045446.629837, "env_id": "PhantomXLeg-v0"} 
r,l,t
0.387958,1024,69.743126
-1.840975,1024,138.35644
-2.167207,1024,205.685266
-0.458446,1024,272.028829
1.377489,1024,338.400628
3.518794,1024,404.415691
6.565324,1024,471.122868
5.431133,1024,537.452948
3.69571,1024,603.708822
4.992424,1024,671.163038
7.310493,1024,737.212696
7.303421,1024,805.400527
7.093287,1024,871.510744
13.673566,1024,937.276049
14.323014,1024,1005.337123
19.913714,1024,1070.797323
36.507213,1024,1136.044628
15.136763,1024,1201.82457
18.769897,1024,1268.694061
20.138356,1024,1337.31147
19.8332,1024,1404.279174
23.356499,1024,1474.026054
20.406626,1024,1541.226178
24.202815,1024,1607.808007
21.736649,1024,1675.906688
21.910357,1024,1741.985229
25.722322,1024,1806.752487
25.941518,1024,1877.429579
27.52707,1024,1943.542868
25.523565,1024,2011.796144
21.828379,1024,2079.156109
25.224166,1024,2147.829918
26.201342,1024,2216.852719
28.21482,1024,2288.295481
29.569597,1024,2356.232773
23.336734,1024,2424.91313
-391.914021,1024,2466.522534
27.60306,1024,2534.461576
25.131382,1024,2603.677287
20.206237,1024,2682.239366
28.841074,1024,2750.038252
29.033313,1024,2817.027804
27.337313,1024,2887.564573
28.720427,1024,2956.233289
30.539551,1024,3022.183528
33.561303,1024,3092.236282
33.43057,1024,3159.610977
28.144686,1024,3228.333695
31.459369,1024,3294.100103
31.105795,1024,3361.375927
23.748231,1024,3430.219428
31.415466,1024,3497.645401
35.916977,1024,3567.324422
27.205819,1024,3636.983151
32.737173,1024,3705.777834
30.965309,1024,3773.066865
33.597291,1024,3840.919783
30.481336,1024,3907.956332
35.514996,1024,3975.602552
23.233027,1024,4039.882483
10.385486,1024,4105.835197
32.707927,1024,4173.00111
39.608698,1024,4238.696196
36.549491,1024,4306.446756
38.133983,1024,4375.776103
31.780391,1024,4441.868335
27.630351,1024,4510.307897
34.260191,1024,4576.464753
33.466677,1024,4642.297313
10.051424,1024,4701.330844
37.080367,1024,4770.616028
10.731691,1024,4834.554462
40.398702,1024,4902.444346
38.325618,1024,4969.293358
37.528305,1024,5035.035085
36.298882,1024,5100.912322
35.771901,1024,5167.039735
15.216479,1024,5231.206514
34.372533,1024,5298.891867
33.927789,1024,5364.865288
28.697712,1024,5432.394457
35.751487,1024,5498.217575
33.471839,1024,5566.869681
30.051065,1024,5635.824197
25.063352,1024,5705.036943
34.511747,1024,5774.302874
38.133761,1024,5841.377447
34.404723,1024,5909.40701
37.385264,1024,5975.269821
36.953186,1024,6041.397519
34.611689,1024,6110.143713
28.598425,1024,6172.351718
40.258956,1024,6239.449242
40.859353,1024,6305.879815
40.103221,1024,6372.436599
39.030641,1024,6440.165409
34.160579,1024,6503.839851
33.559558,1024,6572.984293
40.363968,1024,6642.337873
33.081568,1024,6703.638453
35.798714,1024,6769.596038
39.864513,1024,6835.86078
47.280402,1024,6901.194534
29.19733,1024,6960.191481
37.597535,1024,7027.532084
35.906628,1024,7096.017674
40.963853,1024,7161.277433
34.098526,1024,7223.597415
34.868201,1024,7288.954834
38.077638,1024,7359.438619
35.142983,1024,7424.112419
40.731802,1024,7489.742432
36.779613,1024,7553.229095
36.030534,1024,7617.975924
40.702844,1024,7684.295782
40.227706,1024,7755.095739
46.880676,1024,7822.804276
40.947367,1024,7889.20099
45.998025,1024,7954.748519
40.48548,1024,8022.732118
37.364958,1024,8086.559511
43.450208,1024,8153.940582
44.173917,1024,8223.719468
39.805742,1024,8290.862105
35.150235,1024,8357.512636
38.805932,1024,8420.563053
39.858673,1024,8486.455183
40.178297,1024,8548.273186
40.346175,1024,8613.755549
40.96918,1024,8683.873595
46.074586,1024,8750.732978
28.521571,1024,8817.394142
40.250977,1024,8881.180924
44.53553,1024,8949.048479
52.666542,1024,9015.030886
51.529031,1024,9081.505656
45.477192,1024,9147.807539
53.339918,1024,9214.569168
50.922731,1024,9281.704477
47.731875,1024,9348.358061
58.864684,1024,9413.384706
54.224196,1024,9476.232028
59.605729,1024,9540.460491
48.250016,1024,9604.886708
41.091051,1024,9667.50012
32.820595,1024,9731.463663
40.135013,1024,9793.656281
58.805787,1024,9859.073757
38.003077,1024,9923.891202
46.435495,1024,9988.235132
57.45294,1024,10050.167903
51.655057,1024,10113.13287
52.773563,1024,10175.827489
59.455647,1024,10240.478711
47.17543,1024,10303.871754
49.51768,1024,10369.611987
18.621989,1024,10435.573561
26.197564,1024,10501.192589
49.432948,1024,10569.437123
53.19906,1024,10631.31211
20.881962,1024,10697.772748
57.272455,1024,10759.178039
89.179516,1024,10819.024762
28.786232,1024,10881.294085
50.328887,1024,10944.534024
54.401429,1024,11015.957717
21.694895,1024,11078.734906
58.207017,1024,11140.244395
42.840108,1024,11205.034595
52.633017,1024,11266.898081
63.30403,1024,11333.083275
45.682965,1024,11395.619584
51.468432,1024,11457.114445
71.889727,1024,11519.301196
47.074439,1024,11583.314751
35.704025,1024,11645.671675
52.528667,1024,11711.367356
47.844301,1024,11774.248398
72.752211,1024,11834.682796
58.011939,1024,11897.179302
43.126881,1024,11959.504961
45.930359,1024,12022.675633
47.939076,1024,12088.600697
42.139396,1024,12150.963392
47.728068,1024,12214.332976
60.831849,1024,12277.111978
55.048427,1024,12343.025543
65.942436,1024,12407.791211
43.383675,1024,12470.617403
47.423099,1024,12533.456334
76.382721,1024,12597.027606
63.595492,1024,12659.324568
65.670952,1024,12721.885745
66.066676,1024,12784.195097
52.390153,1024,12847.226491
71.223458,1024,12911.351111
47.297199,1024,12972.968263
60.523792,1024,13034.834975
53.618897,1024,13099.896786
56.173535,1024,13165.222925
45.011452,1024,13228.823734
70.234037,1024,13292.671596
78.340942,1024,13354.031557
58.752044,1024,13415.295062
46.210126,1024,13476.642395
69.625754,1024,13542.911645
40.866649,1024,13607.283169
74.331987,1024,13670.622039
59.703972,1024,13730.828914
69.379056,1024,13793.487506
38.352612,1024,13859.145001
55.537217,1024,13922.462321
60.506282,1024,13986.118906
72.744906,1024,14051.465385
21.303294,1024,14113.995822
83.107982,1024,14177.800279
77.716799,1024,14241.293792
69.985391,1024,14308.534063
68.469349,1024,14369.411745
56.241767,1024,14428.70297
72.569197,1024,14493.136668
79.838513,1024,14551.928907
58.962094,1024,14614.033359
85.627416,1024,14674.887208
81.141467,1024,14737.836569
61.925303,1024,14802.029544
75.393963,1024,14862.445312
65.38463,1024,14922.599461
60.930002,1024,14988.511413
80.517569,1024,15049.004317
86.702267,1024,15109.983847
80.462489,1024,15171.906118
42.773734,1024,15233.293666
73.926521,1024,15291.907152
67.327308,1024,15354.543652
80.139472,1024,15415.641761
61.13915,1024,15475.156093
46.278572,1024,15538.14592
64.466676,1024,15598.157823
35.69062,1024,15658.840479
45.924276,1024,15722.232941
92.227671,1024,15785.354483
53.076923,1024,15847.92866
89.321647,1024,15911.731256
88.579379,1024,15974.199744
14.375801,1024,16037.06124
61.355372,1024,16098.939799
72.721143,1024,16161.737531
92.169924,1024,16223.035542
80.15961,1024,16287.197639
76.125219,1024,16346.321651
45.68135,1024,16406.99157
15.633454,1024,16469.987613
83.015904,1024,16534.540558
79.961892,1024,16598.26796
77.153068,1024,16659.25725
83.95362,1024,16719.071714
71.44347,1024,16780.526614
27.216434,1024,16842.087815
48.452161,1024,16903.624224
86.856116,1024,16963.455683
54.987942,1024,17058.21202
57.71302,1024,17117.674299
63.465876,1024,17181.505034
79.172887,1024,17242.340656
66.078041,1024,17302.408206
74.404176,1024,17361.674402
63.817713,1024,17424.112846
95.407057,1024,17485.113496
32.490288,1024,17547.634793
75.484137,1024,17606.15325
88.16613,1024,17665.611803
99.273375,1024,17728.077728
86.796884,1024,17788.769509
67.188272,1024,17849.774226
31.813798,1024,17909.465744
75.272396,1024,17968.187271
35.23093,1024,18028.38638
79.318168,1024,18090.023038
85.801952,1024,18148.314491
57.544009,1024,18209.208894
57.923607,1024,18269.530949
88.837935,1024,18328.382971
53.113382,1024,18388.451055
64.808487,1024,18447.461975
88.161692,1024,18504.929306
77.911967,1024,18569.2117
60.24653,1024,18628.376872
91.066822,1024,18691.431603
98.953717,1024,18751.271725
60.888853,1024,18810.687591
98.175298,1024,18868.896789
72.922502,1024,18930.89185
91.251053,1024,18991.223024
25.759235,1024,19055.43156
53.392537,1024,19116.971025
33.279413,1024,19177.09231
79.783684,1024,19235.290235
97.06322,1024,19297.238211
22.027744,1024,19358.952034
58.9755,1024,19422.018186
53.62577,1024,19484.36393
33.08317,1024,19545.758061
93.522687,1024,19604.846088
74.850078,1024,19665.359613
80.26462,1024,19725.034778
101.472555,1024,19783.983705
22.259703,1024,19844.529988
101.954873,1024,19904.21395
72.295719,1024,19966.611147
68.340584,1024,20023.156712
61.179903,1024,20082.542876
73.449405,1024,20141.16374
55.545523,1024,20201.615907
77.33541,1024,20262.034106
59.683936,1024,20321.352955
89.383288,1024,20384.765002
105.606029,1024,20445.482045
72.283633,1024,20508.384397
94.585915,1024,20571.338892
69.094815,1024,20632.090871
60.699477,1024,20693.530203
81.23582,1024,20752.093753
109.701917,1024,20810.691667
94.621657,1024,20872.754671
98.244383,1024,20933.804492
94.82447,1024,20994.093481
101.675617,1024,21056.270428
91.793369,1024,21115.928262
101.439225,1024,21178.882979
100.060325,1024,21238.578823
107.531344,1024,21299.92704
78.603301,1024,21360.47094
95.749701,1024,21423.108152
94.570949,1024,21482.828138
104.651028,1024,21544.891635
98.52518,1024,21606.250318
87.159336,1024,21666.86291
100.732708,1024,21728.541164
88.176005,1024,21792.958678
102.811509,1024,21853.654913
107.286498,1024,21917.504223
102.766953,1024,21976.940527
70.709834,1024,22039.001601
107.297607,1024,22101.632645
105.001093,1024,22162.385246
99.416474,1024,22221.045345
84.587828,1024,22281.495562
104.352659,1024,22347.368734
111.468896,1024,22407.119849
97.531145,1024,22466.080315
98.786538,1024,22526.595127
112.18525,1024,22586.389151
101.532826,1024,22645.697653
120.562366,1024,22704.655043
82.040977,1024,22766.699303
98.586377,1024,22827.773305
98.412502,1024,22887.643321
