# {"t_start": 1586120038.9373958, "env_id": "PhantomXLeg-v0"} 
r,l,t
-1.924557,1024,68.771799
-0.209877,1024,134.077785
-19.309758,1024,198.78715
1.478915,1024,264.767292
-0.060763,1024,330.702377
3.731038,1024,397.24597
4.939921,1024,463.483853
3.767639,1024,529.477101
9.880598,1024,597.166123
7.413352,1024,664.563802
5.394501,1024,730.336572
11.639502,1024,796.872964
11.285584,1024,864.34278
16.570454,1024,928.716455
17.541249,1024,995.978502
15.901703,1024,1063.889756
21.047687,1024,1129.793935
18.40715,1024,1196.966888
21.594925,1024,1262.989575
23.064819,1024,1330.554355
24.090052,1024,1398.252423
25.235272,1024,1463.933644
21.714724,1024,1530.55052
24.373645,1024,1598.413529
26.662872,1024,1665.8216
25.871216,1024,1732.411889
28.078959,1024,1799.868113
25.128228,1024,1869.16782
25.679628,1024,1936.040854
-11.321628,1024,2002.149793
29.954215,1024,2070.282671
29.098609,1024,2136.079181
23.308376,1024,2204.06389
31.451616,1024,2271.349129
32.346736,1024,2337.741196
30.254164,1024,2405.444289
29.619894,1024,2474.077807
30.518857,1024,2540.364009
31.911782,1024,2605.195873
17.419919,1024,2672.913364
33.525361,1024,2738.094587
30.142315,1024,2804.507056
28.724495,1024,2870.94779
117.969465,1024,2927.982649
24.559422,1024,2992.180668
33.964593,1024,3058.570683
20.739992,1024,3123.993921
30.897543,1024,3190.199539
30.940475,1024,3250.666152
31.054764,1024,3316.324484
29.7111,1024,3380.978955
36.240168,1024,3444.80576
25.499906,1024,3509.646951
27.740499,1024,3575.308645
35.957226,1024,3642.67739
35.410406,1024,3706.923757
34.116359,1024,3774.426169
36.760955,1024,3841.898262
33.498405,1024,3906.088427
42.988695,1024,3968.177905
35.825936,1024,4032.950506
43.826008,1024,4099.188203
34.464036,1024,4163.475929
27.721825,1024,4228.200606
37.590688,1024,4294.78077
32.016291,1024,4360.305291
34.56658,1024,4426.8483
41.390597,1024,4491.528643
24.249136,1024,4552.832843
35.377788,1024,4616.308011
41.289283,1024,4683.319633
36.967532,1024,4748.757001
41.777188,1024,4811.885159
37.34616,1024,4876.649856
35.211993,1024,4942.308017
37.725508,1024,5005.668878
38.407031,1024,5071.265394
36.474139,1024,5137.117733
40.101701,1024,5205.006416
30.341709,1024,5268.724532
42.562192,1024,5334.892449
42.918474,1024,5399.731837
35.309526,1024,5463.34131
43.026005,1024,5529.390139
45.263267,1024,5594.112734
42.006479,1024,5657.304474
45.932225,1024,5720.657038
42.055931,1024,5781.320482
49.71364,1024,5844.770232
42.452041,1024,5909.412962
44.442854,1024,5972.678111
40.543636,1024,6036.740338
40.530471,1024,6098.603758
42.846231,1024,6163.37934
39.116298,1024,6227.290547
40.107037,1024,6291.626537
36.705307,1024,6356.087557
41.911735,1024,6421.91936
39.375263,1024,6487.666413
47.660584,1024,6551.155914
46.680442,1024,6614.178794
46.311532,1024,6673.176204
54.0749,1024,6734.036461
49.017151,1024,6794.915005
45.15546,1024,6858.744673
49.228714,1024,6922.931491
53.783078,1024,6984.611867
48.267598,1024,7047.700162
52.924508,1024,7112.117947
44.578996,1024,7178.587245
30.266449,1024,7241.095831
53.470266,1024,7305.590019
23.49927,1024,7367.03857
56.31737,1024,7428.594048
50.558867,1024,7489.748753
56.790555,1024,7552.426857
51.219936,1024,7616.078602
50.422839,1024,7677.184338
45.78353,1024,7743.600636
30.24799,1024,7803.4225
25.504142,1024,7868.472913
57.178974,1024,7931.857271
47.037054,1024,7997.874589
-60.579327,1024,8048.783338
53.167151,1024,8110.272269
29.456488,1024,8170.337586
47.890663,1024,8231.603697
42.705954,1024,8289.27254
55.857966,1024,8348.747143
28.891788,1024,8409.458246
15.318456,1024,8469.77934
61.552805,1024,8528.87122
60.077757,1024,8588.703992
57.453771,1024,8651.057779
60.900276,1024,8710.098487
55.508996,1024,8772.261548
55.6056,1024,8833.053857
62.733479,1024,8894.290842
61.538568,1024,8955.531305
57.080185,1024,9017.573058
65.055469,1024,9079.168185
50.128522,1024,9139.813234
24.751926,1024,9198.360817
52.53572,1024,9259.476203
45.62294,1024,9318.849419
66.349908,1024,9379.262925
50.085212,1024,9440.069355
62.471049,1024,9501.169525
42.499282,1024,9559.224044
50.615367,1024,9619.424799
62.098604,1024,9678.316471
58.120386,1024,9737.835484
13.460029,1024,9856.227712
67.773392,1024,9918.682001
71.860218,1024,9978.875495
67.338123,1024,10037.965892
64.620283,1024,10097.869071
43.318885,1024,10155.138969
62.692585,1024,10214.29689
9.534051,1024,10272.489633
73.19256,1024,10333.491988
61.948899,1024,10394.389793
30.823241,1024,10451.693337
62.634774,1024,10509.522858
41.368469,1024,10568.707608
61.695067,1024,10629.503365
63.767427,1024,10688.628612
43.230787,1024,10747.796045
47.928084,1024,10808.975457
66.187597,1024,10867.015905
59.480192,1024,10926.044305
69.857541,1024,10983.273617
60.923642,1024,11040.776984
48.652951,1024,11097.801938
69.322714,1024,11156.85176
66.945587,1024,11212.948914
55.906373,1024,11271.035017
76.994199,1024,11327.105615
74.953163,1024,11383.557797
73.219757,1024,11440.340949
69.399405,1024,11495.87746
64.901662,1024,11551.509239
68.611481,1024,11610.913876
54.892723,1024,11668.87172
74.942318,1024,11726.184846
77.545582,1024,11784.093561
69.323846,1024,11840.383264
76.765877,1024,11897.308475
19.83509,1024,11954.958515
77.975853,1024,12011.585531
78.924959,1024,12069.70516
69.060314,1024,12129.253833
76.997096,1024,12185.071276
69.017854,1024,12240.496573
79.40737,1024,12298.224927
70.578139,1024,12357.793832
76.659747,1024,12414.624079
77.505269,1024,12472.872058
89.594653,1024,12530.073765
84.636793,1024,12585.123936
79.176585,1024,12640.326764
52.931447,491,12669.245819
76.686479,1024,12725.635347
76.967606,1024,12783.300577
78.450851,1024,12839.876954
60.323775,1024,12894.354268
25.59411,1024,12950.0951
79.712958,1024,13006.505263
70.367241,1024,13061.925767
79.806046,1024,13116.75653
95.212894,1024,13171.368612
86.016332,1024,13227.200767
87.480582,1024,13279.950128
85.085312,1024,13335.689561
81.959319,1024,13389.680252
81.549874,1024,13445.784478
85.095623,1024,13503.062161
85.181138,1024,13556.287164
81.118528,1024,13611.347112
88.813048,1024,13666.73042
63.069757,1024,13723.045569
67.263565,1024,13777.696185
79.456031,1024,13834.93138
83.643832,1024,13888.482047
77.915436,1024,13946.338298
80.502363,1024,14002.461177
88.107546,1024,14058.178596
89.292613,1024,14112.857758
79.30683,1024,14169.605497
95.676586,1024,14223.59442
69.433851,1024,14278.655927
78.284164,1024,14332.987851
71.374572,1024,14386.121393
82.541734,1024,14441.31084
81.697235,1024,14496.021945
56.7661,1024,14549.588211
87.857211,1024,14605.464535
77.772511,1024,14660.31058
80.371666,1024,14715.366157
85.894583,1024,14769.461266
95.359821,1024,14823.048333
73.426386,1024,14879.235646
100.089277,1024,14931.960462
87.542389,1024,14985.54794
85.797954,1024,15041.642572
50.636859,1024,15098.710354
90.176699,1024,15154.128242
75.363306,1024,15207.788397
88.706005,1024,15262.111459
92.599631,1024,15315.781451
92.552534,1024,15369.632526
108.980484,1024,15424.208761
87.624361,1024,15479.914865
96.046646,1024,15533.485384
80.647036,1024,15587.859153
98.435533,1024,15637.835993
105.451387,1024,15691.364269
106.799537,1024,15743.445518
